0,0,2019-nCoV
0,1,http://www.wikidata.org/entity/Q82069695
0,2,2019-NCOV
1,0,COVID-19
1,1,http://www.wikidata.org/entity/Q84263196
1,2,COVID-19
2,0,2019
2,1,http://www.wikidata.org/entity/Q82069695
2,2,2019NCOV
3,0,2019
3,1,http://www.wikidata.org/entity/Q81068910
3,2,2019NCOV OUTBREAK
4,0,2019-nCoV
4,1,http://www.wikidata.org/entity/Q82069695
4,2,2019-NCOV
5,0,2019-nCov
5,1,http://www.wikidata.org/entity/Q82069695
5,2,2019-NCOV
6,0,506
6,1,http://www.wikidata.org/entity/Q1216264
6,2,506U78
7,0,9-amino
7,1,http://www.wikidata.org/entity/Q513937
7,2,9-AMINOACRIDINE
8,0,9-amino
8,1,http://www.wikidata.org/entity/Q27144949
8,2,9-AMINOACRIDINE HCL
9,0,9-amino
9,1,http://www.wikidata.org/entity/Q27144949
9,2,9-AMINOACRIDINE MONOHYDROCHLORIDE
10,0,ABO
10,1,http://www.wikidata.org/entity/Q14839826
10,2,ABO
11,0,ABO
11,1,http://www.wikidata.org/entity/Q61476029
11,2,ABOLFAZL MOLLALO
12,0,ABO
12,1,http://www.wikidata.org/entity/Q38545832
12,2,ABOLGHASEM JOUYBAN
13,0,ABO
13,1,http://www.wikidata.org/entity/Q213511
13,2,ABOMACETIN
14,0,ABO
14,1,http://www.wikidata.org/entity/Q18967004
14,2,ABORTION WITH SEPSIS
15,0,ABO
15,1,http://www.wikidata.org/entity/Q17011656
15,2,ABORTION WITH SEPSIS
16,0,ABO
16,1,http://www.wikidata.org/entity/Q28693
16,2,ABORTION, SPONTANEOUS
17,0,ABO
17,1,http://www.wikidata.org/entity/Q55784314
17,2,ABORTION, SPONTANEOUS, RECURRENT
18,0,ABO
18,1,http://www.wikidata.org/entity/Q64699636
18,2,ABORTION, THREATENED
19,0,ABO
19,1,http://www.wikidata.org/entity/Q83515510
19,2,ABOUL ELLA HASSANIEN
20,0,ABO
20,1,http://www.wikidata.org/entity/Q27437064
20,2,ABOVE KNEE AMPUTATION
21,0,ABO
21,1,http://www.wikidata.org/entity/Q2010847
21,2,ABOVE KNEE LEG PROSTHETICS
22,0,ABO
22,1,http://www.wikidata.org/entity/Q63345803
22,2,ABOVE REFERENCE RANGE
23,0,ABO
23,1,http://www.wikidata.org/entity/Q27437064
23,2,ABOVE-KNEE AMPUTATION
24,0,ACE2
24,1,http://www.wikidata.org/entity/Q14875321
24,2,ACE2
25,0,ADV
25,1,http://www.wikidata.org/entity/Q8564098
